codigo_status,movimiento,modulo,group,grupo_autorizacion,icono,mensaje,id_siguiente,no_autorizado,modificacion,accion,generar_poliza
1,Inactivo,personal,1,,"","",0,0,,"",0
5,Activo,personal,1,,"","",0,0,,"",0
