id_localidad,localidad,padre,id_municipio,localidad_activo
171,Kilómetro 9,,2,1
172,La Cabellera,,2,1
173,La Carbonera,,2,1
174,La Ciénega,,2,1
175,La Codorniz (Fitosanitaria) [Restaurante],,2,1
176,La Criba,,2,1
177,La Esperanza,,2,1
178,La Gloria,,2,1
179,La Herradura,,2,1
180,La Junta de los Ríos,,2,1
181,La Ladrillera,,2,1
182,La Lechuza,,2,1
183,La Malia,,2,1
184,La Manga,,2,1
185,La Marrana (Corrales la Marrana),,2,1
186,La Piedra,,2,1
187,La Pila,,2,1
188,La Pistola,,2,1
189,La Pitahaya,,2,1
190,La Puerta Negra,,2,1
191,La Rancheta del Alamito,,2,1
192,La Sota,,2,1
193,La Tinaja,,2,1
194,La Tortuga,,2,1
195,La Traila,,2,1
196,La Victoria,,2,1
197,La Vinata,,2,1
198,La Virgen,,2,1
199,Lalo Leyva,,2,1
200,Las Abejas,,2,1
201,Las Águilas,,2,1
202,Las Agujas,,2,1
203,Las Anitas,,2,1
204,Las Barras,,2,1
205,Las Brujas [Rancho],,2,1
206,Las Cenizas,,2,1
207,Las Chimeneas,,2,1
208,Las Cocheras,,2,1
209,Las Eloísas (El Papalote),,2,1
210,Las Isabeles,,2,1
211,Las Peñas,,2,1
212,Laser Night Club,,2,1
213,Laura Viuda de Ángulo,,2,1
214,Licenciado Anselmo Murillo,,2,1
215,Localidad sin Nombre,,2,1
216,Loreto Sanez Quiroz,,2,1
217,Los Aguajes,,2,1
218,Los Alamitos,,2,1
219,Los Álamos (Corrales Gómez),,2,1
220,Los Almireces,,2,1
221,Los Altos,,2,1
222,Los Amigos,,2,1
223,Los Azogues,,2,1
224,Los Capotes,,2,1
225,Los Chinos,,2,1
226,Los Chirriones,,2,1
227,Los Cúmaros,,2,1
228,Los Embudos,,2,1
229,Los Fresnales,,2,1
230,Los Jabalíes,,2,1
231,Los Janitos,,2,1
232,Los Ojos Calientes,,2,1
233,Los Paredones,,2,1
234,Los Pinitos (Evaristo Molina Olivas),,2,1
235,Los Pinos,,2,1
236,Los Pirules,,2,1
237,Los Pochones,,2,1
238,Lucrecia,,2,1
239,Luis Cortés,,2,1
240,Manuel Caperón Pedregón,,2,1
241,Manuel Ortega Morales,,2,1
242,Manuel Ortega Silveira,,2,1
243,Manuel Valdez Valdez,,2,1
244,Marcelo Rascón,,2,1
245,María del Rosario Encinas Ocaño [Carbonera],,2,1
246,Mario Ruiz Madrid,,2,1
247,Martín Jáquez,,2,1
248,Martín Padilla,,2,1
249,Martín Rivera Ojeda,,2,1
250,Matías Pérez,,2,1
251,Mesa de la Víbora,,2,1
252,Miguel Ángel Bermudes,,2,1
253,Miguel Ángel Márquez,,2,1
254,Mina Santa Mónica (Mina de Sílica),,2,1
255,Molino Quemado,,2,1
256,Monte Calvario,,2,1
257,Nicolás González,,2,1
258,Ocotillo,,2,1
259,Olivares Martínez,,2,1
260,Oscar Villanueva Pérez,,2,1
261,Pablo Gracia Tena,,2,1
262,Pan Duro,,2,1
